x,y,z,w,rho,grad,tau,exchange,reference
-2.918384344280800E-05,-1.649049674093500E-05,-7.021762691190100E-01,8.006983026088900E-15,3.420443539024300E-01,1.934224058806600E-01,1.367228645562400E-02,-1.536201594284800E-01,-1.986097564620020E-02
2.918384344280800E-05,1.649049674093500E-05,-7.022346368059000E-01,8.006983026088900E-15,3.420330582330800E-01,1.936298300649200E-01,1.370207871303900E-02,-1.536126340973500E-01,-1.986044348171360E-02
-2.918384344280800E-05,1.649049674093500E-05,-7.022346368059000E-01,8.006983026088900E-15,3.420330582330800E-01,1.936298300649200E-01,1.370207871303900E-02,-1.536126340973500E-01,-1.986044348171360E-02
2.918384344280800E-05,-1.649049674093500E-05,-7.022346368059000E-01,8.006983026088900E-15,3.420330582330800E-01,1.936298300649200E-01,1.370207871303900E-02,-1.536126340973500E-01,-1.986044348171360E-02
-2.918384344280800E-05,-1.649049674093500E-05,-7.022346368059000E-01,8.006983026088900E-15,3.420330582330800E-01,1.936298300649200E-01,1.370207871303900E-02,-1.536126340973500E-01,-1.986044348171360E-02
1.649049674093500E-05,2.918384344280800E-05,-7.021762691190100E-01,8.006983026088900E-15,3.420443539024300E-01,1.934224058806600E-01,1.367228645562400E-02,-1.536201594284800E-01,-1.986097564619860E-02
-1.649049674093500E-05,2.918384344280800E-05,-7.021762691190100E-01,8.006983026088900E-15,3.420443539024300E-01,1.934224058806600E-01,1.367228645562400E-02,-1.536201594284800E-01,-1.986097564619860E-02
1.649049674093500E-05,-2.918384344280800E-05,-7.021762691190100E-01,8.006983026088900E-15,3.420443539024300E-01,1.934224058806600E-01,1.367228645562400E-02,-1.536201594284800E-01,-1.986097564619860E-02
-1.649049674093500E-05,-2.918384344280800E-05,-7.021762691190100E-01,8.006983026088900E-15,3.420443539024300E-01,1.934224058806600E-01,1.367228645562400E-02,-1.536201594284800E-01,-1.986097564619860E-02
1.649049674093500E-05,2.918384344280800E-05,-7.022346368059000E-01,8.006983026088900E-15,3.420330582330800E-01,1.936298300649200E-01,1.370207871303900E-02,-1.536126340973500E-01,-1.986044348171360E-02
-1.649049674093500E-05,2.918384344280800E-05,-7.022346368059000E-01,8.006983026088900E-15,3.420330582330800E-01,1.936298300649200E-01,1.370207871303900E-02,-1.536126340973500E-01,-1.986044348171360E-02
1.649049674093500E-05,-2.918384344280800E-05,-7.022346368059000E-01,8.006983026088900E-15,3.420330582330800E-01,1.936298300649200E-01,1.370207871303900E-02,-1.536126340973500E-01,-1.986044348171360E-02
-1.649049674093500E-05,-2.918384344280800E-05,-7.022346368059000E-01,8.006983026088900E-15,3.420330582330800E-01,1.936298300649200E-01,1.370207871303900E-02,-1.536126340973500E-01,-1.986044348171360E-02
2.101813156419000E-05,2.101813156419000E-05,-7.021724104714800E-01,7.944583369846700E-15,3.420451006906800E-01,1.934086836591100E-01,1.367031673572300E-02,-1.536206569516000E-01,-1.986101083029390E-02
-2.101813156419000E-05,2.101813156419000E-05,-7.021724104714800E-01,7.944583369846700E-15,3.420451006906800E-01,1.934086836591100E-01,1.367031673572300E-02,-1.536206569516000E-01,-1.986101083029390E-02
2.101813156419000E-05,-2.101813156419000E-05,-7.021724104714800E-01,7.944583369846700E-15,3.420451006906800E-01,1.934086836591100E-01,1.367031673572300E-02,-1.536206569516000E-01,-1.986101083029390E-02
-2.101813156419000E-05,-2.101813156419000E-05,-7.021724104714800E-01,7.944583369846700E-15,3.420451006906800E-01,1.934086836591100E-01,1.367031673572300E-02,-1.536206569516000E-01,-1.986101083029390E-02
2.101813156419000E-05,2.101813156419000E-05,-7.022384954534300E-01,7.944583369846700E-15,3.420323115235000E-01,1.936435331947600E-01,1.370404808434800E-02,-1.536121366315700E-01,-1.986040830375200E-02
-2.101813156419000E-05,2.101813156419000E-05,-7.022384954534300E-01,7.944583369846700E-15,3.420323115235000E-01,1.936435331947600E-01,1.370404808434800E-02,-1.536121366315700E-01,-1.986040830375200E-02
2.101813156419000E-05,-2.101813156419000E-05,-7.022384954534300E-01,7.944583369846700E-15,3.420323115235000E-01,1.936435331947600E-01,1.370404808434800E-02,-1.536121366315700E-01,-1.986040830375200E-02
-2.101813156419000E-05,-2.101813156419000E-05,-7.022384954534300E-01,7.944583369846700E-15,3.420323115235000E-01,1.936435331947600E-01,1.370404808434800E-02,-1.536121366315700E-01,-1.986040830375200E-02
2.101813156419000E-05,3.304249097831800E-05,-7.021844348308900E-01,7.944583369846700E-15,3.420427735571100E-01,1.934514410854900E-01,1.367645472701500E-02,-1.536191065763600E-01,-1.986090119049070E-02
-2.101813156419000E-05,3.304249097831800E-05,-7.021844348308900E-01,7.944583369846700E-15,3.420427735571100E-01,1.934514410854900E-01,1.367645472701500E-02,-1.536191065763600E-01,-1.986090119049070E-02
2.101813156419000E-05,-3.304249097831800E-05,-7.021844348308900E-01,7.944583369846700E-15,3.420427735571100E-01,1.934514410854900E-01,1.367645472701500E-02,-1.536191065763600E-01,-1.986090119049070E-02
-2.101813156419000E-05,-3.304249097831800E-05,-7.021844348308900E-01,7.944583369846700E-15,3.420427735571100E-01,1.934514410854900E-01,1.367645472701500E-02,-1.536191065763600E-01,-1.986090119049070E-02
2.101813156419000E-05,3.304249097831800E-05,-7.022264710940200E-01,7.944583369846700E-15,3.420346384441000E-01,1.936008274550300E-01,1.369791103679300E-02,-1.536136868515700E-01,-1.986051792694930E-02
-2.101813156419000E-05,3.304249097831800E-05,-7.022264710940200E-01,7.944583369846700E-15,3.420346384441000E-01,1.936008274550300E-01,1.369791103679300E-02,-1.536136868515700E-01,-1.986051792694930E-02
2.101813156419000E-05,-3.304249097831800E-05,-7.022264710940200E-01,7.944583369846700E-15,3.420346384441000E-01,1.936008274550300E-01,1.369791103679300E-02,-1.536136868515700E-01,-1.986051792694930E-02
-2.101813156419000E-05,-3.304249097831800E-05,-7.022264710940200E-01,7.944583369846700E-15,3.420346384441000E-01,1.936008274550300E-01,1.369791103679300E-02,-1.536136868515700E-01,-1.986051792694930E-02
3.304249097831800E-05,2.101813156419000E-05,-7.021844348308900E-01,7.944583369846700E-15,3.420427735571100E-01,1.934514410854900E-01,1.367645472701500E-02,-1.536191065763600E-01,-1.986090119049260E-02
-3.304249097831800E-05,2.101813156419000E-05,-7.021844348308900E-01,7.944583369846700E-15,3.420427735571100E-01,1.934514410854900E-01,1.367645472701500E-02,-1.536191065763600E-01,-1.986090119049070E-02
3.304249097831800E-05,-2.101813156419000E-05,-7.021844348308900E-01,7.944583369846700E-15,3.420427735571100E-01,1.934514410854900E-01,1.367645472701500E-02,-1.536191065763600E-01,-1.986090119049070E-02
